Question,Answer 1,Answer 2,Answer 3,correct
"One of the benefits of  ABS in modern vehicles when strong braking is applied, is:",Preventing brakes from locking-up and allows the driver to maintain steering control of the vehicle,Preventing brakes locking-up only,Not preventing brakes locking-up and not helping the driver maintain steering control of the vehicle,1
"If your vehicle is beginning to lose traction on a slippery surface, you should spontaneously:","Press on the brakes and steer your vehicle in the opposite direction
to your vehicle's rear",Get your foot off the accelerator (don't press on the brakes) and steer your vehicle in the same direction,Increase your speed,2
"If you leave a safe distance between your vehicle and the vehicle in front, you will be able to:","Avoid a collision with that vehicle should it make a
sudden stoop",Enjoy the view surrounding you,Read the plate number of that vehicle,1
"When the vehicle in front immediately takes off the moment a red light turns green, you should:",Take off immediately after it and fast,Sound your horn,Make sure the road is empty then take off,3
"When approaching an intersection with a flashing yellow traffic light,   you
should:",Provide right of way,Stop,Fasten the seatbelt,1
The seat belt must be used:,By all passengers,"By front-seat
passengers only","Not absolutely
necessary",1
"If your vehicle suddenly malfunctions while driving on a highway, you should",Leave the highway from the nearest exit,"Stop the car
immediately in the place your at",Keep on driving to your destination,1
"The driver should hold the steering
wheel:",With one hand,With both hands,With his fingertips,2
Passengers of a loaded truck should not exceed:,One passenger,"The authorized number of
passengers",Are not entitled to transport passengers,2
"Upon coupling the trailer with the tractor, the driver should make sure that the:",Trailer brake is applied and its legs are lowered to the ground,"Trailer brake is released and its legs lowered  are lowered to the
ground",One leg is lowered to the ground,1
"After coupling the trailer with the tractor, the driver should make sure that the:",Air pipes and electric lines are connected properly,Air pipes only are connected properly,Electric lines only are connected properly,1
"When coupling the trailer to the
tractor, the driver should:","Reverse slowly
above the trailer","Reverse quickly
below the trailer","Reverse slowly below
the trailer",3
"When uncoupling the trailer from the tractor, the driver must select a place:",With a plane area and soft ground,With an incline and solid ground,With an incline and soft ground,1
"Upon uncoupling the trailer from the tractor, the driver should:",Apply the trailer brake and lower its legs to the maximum,Release the trailer brake and lower its legs to the maximum,"Apply the trailer brake firmly and not lower its legs to the
maximum",1
The heavy vehicle driver has numerous blind spots around his vehicle. The count of these blindspots is :,At least four,At least eight,Three,1
"The heavy vehicle driver should pay attention to the height of his vehicle
especially:",When driving on freeways,"When driving under a bridge or into a
tunnel",When driving over a bridge,2
"The heavy vehicle driver should give special care for the width of his vehicle
especially:",When overtaking another vehicle,When driving on the freeway,When taking a rest,1
The heavy vehicle driver should:,Reverse in crowded places,Reverse immediately after an intersection,Avoid reversing in crowded places,3
"Dealing with heavy vehicles differs from smaller vehicles, thus when turning to the right, the driver of a
heavy vehicle should:",Not allow enough distance to his right side,Allow enough distance in the front,Allow enough distance to his right side,3
"In order to avoid your heavy vehicle's rear left wheels from crossing the center line as you negotiate a left hand turn, you should:",Take the extreme left at the turn,Take the right a bit at the turn,Increase your speed at the turn,2
"In order to avoid your heavy vehicle's rear right wheels from skidding off the road as you negotiate a right hand turn, you should:",Take to the right at the turn,Increase your speed at the turn,Drive in the middle of the lane,3
"As you approach a hill top, you should always expect              behind the peak",Obstacles,No obstacles,A straight stretch of road,1
"While driving your heavy vehicle downhill and in order to keep control of your vehicle, you should mainly
depend on using:",The brakes,The hand brake,An appropriate low gear,3
"Using the main brakes of your heavy vehicle continuously when driving downhill for long disables the brakes
due of:",Heat build-up,Break oil pressure,Slope steepness,1
"If the driver doesn't change quickly to a low gear as he starts to drive downhill, and the heavy vehicle gains speed:",It will be easy to change to a lower gear,It will be impossible to change to a lower gear to have more control over the vehicle,The driver will be able to overtake other vehicles safely,2
"As you drive your heavy vehicle uphill for a long period of time, you should:",Avoid  engine pressure build-up,Stick to driving on the left,"Prevent smaller vehicles from
overtaking you",1
"As you drive your heavy vehicle uphill for a long period of time, you should:",Check the fuel gauge continuously,"Keep to the extreme left as
much as possible","Keep to the extreme right as much as
possible",3
"If you are going to overtake a vehcile uphill with your heavy vehicle and it will take too long, you should:",Insist on overtaking,Go beyond the speed limit,Forget about overtaking the vehicle,3
"When you are about to drive your heavy vehicle off-road, you should:",Increase your speed a little,Plan your path carefully,"You should keep an
eye on the driver behind you",2
Eye contact at the intersection:,Helps drivers avoid misunderstandings,Is a sort of alert,Is a forum for drivers get to know one another,1
"As a safety driving rule and whenever possible, the driver should avoid:",Reversing,Slowing down gradually,Washing his vehicle frequently,1
"By law, the driver should yield the right of way to:",Speeding vehicles,Bus Schools flashing their hazard lights,Slow vehicles,2
"By law, the driver should yield the right of way to:","Vehicles that are already in the
roundabout","Vehicles that are entering a
roundabout",Vehicles located to the right of the vehicle,1
It is legal to parallel park a vehicle to the pavement on a single-lane two-way street:,To the right of the direction of driving for the vehicle,Doesn't matter as long as it doesn't hinder traffic,To the left of the road,1
Excessive eating:,Helps the driver drive more safely,Will impair the driver's ability to react properly and make the right decisions,Will allow the driver to maintain control of his vehicle while driving at very high speeds,2
Insufficient sleeping:,Helps improve reaction,Slows down his reactions during driving and causes him a slight loss of memory,Helps him to be alert,2
"In long trips, the driver must stop for
rest every:",10 hours,8 hours,4 hours,3
"In long trips, the driver must stop for
rest around every:",250 kilometers,750 kilometers,900 kilometers,1
Driving under the influence of alcohol:,Endangers driver’s life as well as the lives of others,Endangers others' lives only,Endangers the driver,1
"During very long trips, the driver should:","Consume amphetamines
regularly",Continue driving without rest,"Never consume amphetamines to stay
awake",3
The best way for a driver to know how a medical drug affects his driving is to:,Check with another driver,Check with his physician,Test it on another driver,2
"Driving under the influence of alcohol or drugs causes the driver a false
feeling of:",Fear,Courage and boldness,Outrage,2
"When you are about to overtake another vehicle, you should:",Rely on that vehicle light signals,"Never depend on
that vehicle’s driver hand gestures",Check the signals od the driver behind you,2
"Every heavy vehicle driver should be careful about his vehicle width
especially when he:",Enters narrow places,Stops for some rest,Loads his cargo,1
"When reversing, the driver of a heavy
vehicle should:","Reverse in crowded
places",Reverse in a tunnel,"Request help from a
driving assistant",3
"After filling up a tanker, the driver should check that:","All the lids and release valves are
securely fastened",Some of the lids are securely fastened,All release valves are securely fastened,1
The motorcyclist can protect himself by:,Wearing motorcycle protective gear,"Driving the
motorcycle on one wheel","Ensure that there is
insurance on the motorcycle",1
The motorcycle protective leather suit can resist:,Driving fast and straddling lanes,Friction with asphalt and small stones,Fire,2
Motorcycle gloves protect:,"the head when
falling","The hands from cold
and injuries",the legs when falling,2
Motorcycle boots protect:,The knees and thighs from cold,The feet from dust,"The feet from injury, water, and cold",3
The spine protective suit protect:,"The chest and abdomen from heat
and cold",The spine and spinal cord from the rain,The spine and spinal cord from injury,3
The protective eye glasses protect:,Ears from cold,"Eyes from rain, wind sand, and insects",Eyes from crying,2
The motorcyclist helmet protects:,"The hearing sense
from traffic noise","From fatal head
injuries",The spine,2
"If the motorcyclist wears the helmet improperly or fails to wear it while
driving, this behavior:",Is illegal,Is legal,Is normal,1
"If the motorcyclist just carries the helmet but does not wear it while
driving, the behavior:","Give the motorcyclist legal
protection","Does not give the motorcyclist legal
protection",Is wise,2
"While driving at night, the motorcyclist
should wear:",Dark colors,A fluorescent suit,A sports outfit,2
"To be seen while driving at night, the motorcyclist is advised to:",Attach luminous stripes,"Turn off his lights and attach luminous
stripes",Make squeaking noise with his brakes,1
"If the motorcycle is equipped with a hydraulic brake system, then the driver
should periodically:",Check the level of brake fluid,Limit the use of brakes,Check the level of brake line,1
"The tread depth of the motorcycle tires
should not be less than:",5 millimeters,3 millimeters,6 millimeters,2
"In order to steer the motorcycle freely,
the driver should:","Sit away from the
steering grips","Sit close to the
steering grips","Hold the steering grips
with one hand",2
"In order to avoid unintended speed increase, the motorcyclist should hold the steering grip in such a way that his:",Right wrist is upwards,Left wrist is upwards,Right wrist is downwards,3
"For motorcycles, the braking process is most effective when the motorcyclist
uses:",Back brakes only,Both back and front brakes,"His feet, by pressing them on the asphalt",2
"For motorcycles to avoid skidding while severe braking, the motorcycle should
be:",In a curve,At high speed,At an intersection,3
"Two causes for a motorcycle to squid
on the road:","Broken lights and
weak battery","Slippery road and
nervous reaction","Low speed and low
gear",2
"While driving your motorcycle at night, you should drive:",Slowly and maintain a shorter stopping distance,Slowly and maintain a longer stopping distance,"Fast, with your low beam on",2
"When the motorcycle vibrates in motion, it is often due to:","Uneven rotation of a least one wheel or
one tire","Even rotation of both wheels and
both tires",Bad distribution of the load,1
One of the main causes for motorcycle crash is the presence of:,Oil and pebbles on the road surface,Cars and pedestrians on the road,Policemen and traffic lights,1
To avoid motorcycle accidents at intersections you should:,Slow down and move to the appropriate lane,Depend on your mirrors,"Overtake from the right of the vehicles stoped at the
intersection",1
"A motorcyclist is legally allowed to pass
vehicles:",From their right side,From their left side,From any side,2
"When you overtake with your motorcycle a vehicle from the left side, you should always remember that this
vehicle may:",Decrease its speed gradually,Swerve left suddenly,Turn on its hazard lights,2
"While driving your motorcycle in a straight direction, you should always remember that an oncoming vehicle
may:",Swerve suddenly into your path,Stop suddenly on its path,Swerve suddenly away from your path,1
"If you have the habit of passing vehicles with your motorcycle in a zigzag manner, this means:","Your chances of being involved in an accident are much
higher","Your chances of being involved in an accident are much
lower",You are a safe driver,1
"When you drive your motorcycle with an intentionally emptied exhaust system producing a very loud noisy
sound, it:",Makes people respect your creative ideas,Is considered a clear traffic violation,Is legal,2
What are the environmental benefits of eco-friendly driving?,Reduction in local air pollutant levels,"Increase of greenhouse gas
emissions (CO2)",Reduction in road traffic,1
"How does eco-friendly driving maintain
the safety of the driver?",Improves road safety,"Improves driving
skills",All of the above,3
What are the social responsibility benefits of eco-driving?,Avoids stress while driving,"Increases comfort for drivers and
passengers",All of the above,3
What instrument should be used to monitor your speed on high-ways?,Cruise control,"Braking and
accelerating constantly",Sudden braking,1
"What is the optimal speed range for
eco-friendly driving?",80 km/h – 100 km/h,50 km/h - 80 km/h,40 km/h – 50 km/h,2
"What is the maximum RPM level that
should not be exceeded?",3000 RPM,4000 RPM,2000 RPM,3
What is the result of exceeding 2000 RPM?,It consumes more fuel,It consumes less fuel,"It increases the temperature of the
engine",1
What is the result of fast starts and hard braking?,Wastes fuel,Wears out tires and brakes more quickly,All of the above,3
"By how much is fuel consumption reduced when you change the oil and
oil filterd regularly?",1% to 2%,1% to 3%,2% to 3%,1
Which type of oil is best for the environment?,Energy-conserving oil which has additives that reduce friction,Energy-conserving oil which has additives that increase friction,Energy-conserving oil which has additives that eliminate friction,1
How do you ensure long-lasitng tyres?,Change the tires each year,"Check tire pressure at least once a month to preserve a low rolling
resistance",Check tire pressure at least once a year to preserve a low rolling resistance,2
What is the benefit of cleaning your air filters regularly?,"Improved engine performance by 6 to
11%",Reduce air pollution,All of the above,3
What shoud you do when your car stops moving for more than a minute?,Turn it off,Put it on neutral,Do nothing,1
How do you enhance the performance of your engine and reduce emission levels?,Change the engine’s water regularly,Use clean fuel that complies with international standards,Buy a new engine,2
"What should you always check after
filling your fuel tank?","Fuel tank cap is
securely closed",Fuel tank cap is open,"Car temperature is
stable",1
Why is it preferable to park in the shade?,"Reduces the pressure on the air
conditioner",Decreases fuel consumption,All of the above,3
"By how much does the frequent use of
air conditioning increase fuel consumption?",0.1,0.2,0.3,1
"Which of the following reduces fuel
consumption?","Driving during peak
times",Traveling Light,"Driving at random
speed",2
What is eco-friendly driving?,"Eco-Friendly Driving is the efficient use of fuel in road transportation through easy, smart, and socially responsible driving practices that help cut fuel consumption and reduce air pollution from land transportation.","Eco-Friendly Driving is the efficient use of fuel in road transportation through easy, smart, and socially responsible driving practices that help increase fuel consumption and air pollution from land transportation.",Eco-Friendly Driving is the efficient use of lighting in driving through a simple method and smart water consumption,1
"What does this sign mean? -
C:\DTA\signs\1.jpg","Caution, slippery
road ahead","Caution, speed
bumps ahead","Caution, uneven road
ahead",3
"What does this sign mean? -
C:\DTA\signs\3.jpg",Roundabout ahead,"Caution, left bend
ahead","Caution, right bend
ahead",3
"What does this sign mean? -
C:\DTA\signs\4.jpg",Vehicles can go left,"Caution, left bend
ahead","Caution, right bend
ahead",2
What does this sign mean? - C:\DTA\signs\5.jpg,"Caution, double lane road","Caution, double bend ahead, first
one to the left","Caution, double bend ahead, first one to the
right",3
What does this sign mean? - C:\DTA\signs\6.jpg,"Caution, double lane road","Caution, double bend ahead,  first
one to the left","Caution, double bend ahead,  first one to
the right",2
"What does this sign mean? -
C:\DTA\signs\10.jpg","Caution, narrow
road ahead","Caution, dangerous
slope","Caution, slippery road
ahead",3
"What does this sign mean? -
C:\DTA\signs\11.jpg",Unsecure crossing,No entry,"Caution, students or
school",3
"What does this sign mean? -
C:\DTA\signs\13.jpg",Stray animals,Animals not allowed,"Caution, animals",3
What does this sign mean? - C:\DTA\signs\14.jpg,Travel on the right side of the road,"Caution, intersetion without right of way","Caution, double lane road",3
"What does this sign mean? -
C:\DTA\signs\15.jpg","Caution, various
dangers",You cannot turn,"Caution, roundabout
ahead",3
What does this sign mean? - C:\DTA\signs\17.jpg,"Caution, intersection with no right of way","Caution, vehicles coming from the opposite direction have the right of
way","Caution, intersection ahead",3
What does this sign mean? - C:\DTA\signs\18.jpg,Merging with a freeway,"Caution, intersection with no right of way","Caution, vehicles coming from the opposite direction have the right of way",3
What does this sign mean? - C:\DTA\signs\19.jpg,"Caution, intersection on the right","Caution, intersection with no right of way","Caution, vehicles coming from the opposite direction have the right of way",2
"What does this sign mean? -
C:\DTA\signs\24.jpg",One-minute parking,End of speed limit,"Road with priority
right of way",3
"What does this sign mean? -
C:\DTA\signs\25.jpg","Not reserved for
pedestrians","No entry for
pedestrians","Caution, pedestrian
crossing",3
"What does this sign mean? -
C:\DTA\signs\26.jpg",Trolley crossing,No entry for bikes,"Caution, cycles
crossing",3
"What does this sign mean? -
C:\DTA\signs\29.jpg","Caution, wide road","Caution, narrow
road on the left","Caution, narrow road
ahead",3
"What does this sign mean? -
C:\DTA\signs\30.jpg",Priority to the right,"Narrow road on the
right","Caution, narrow road
on the left",3
What does this sign mean? - C:\DTA\signs\31.jpg,End of priority,"Caution, narrow road on the right","Caution, vehicles coming from the opposite direction have the right of way",2
"What does this sign mean? -
C:\DTA\signs\32.jpg",Mountainous area,"Caution, falling or
fallen rocks ahead","Caution, narrow road
ahead",2
What does this sign mean? - C:\DTA\signs\33.jpg,No entry to all types of motor vehicles,"Caution, electrical signs","Caution, roundabout ahead",2
What does this sign mean? - C:\DTA\signs\37.jpg,No entry,Give way - priority road ahead,"Caution, various dangers",3
What does this sign mean? - C:\DTA\signs\38.jpg,No entry,Give way - priority road ahead,"Caution, various dangers",2
What does this sign mean? - C:\DTA\signs\39.jpg,No entry,End of priority,"Caution, vehicles coming from the opposite direction have the right of way",2
What does this sign mean? - C:\DTA\signs\40.jpg,No overtaking for all kinds of vehicles,End of priority,"Caution, vehicles coming from the opposite direction have the right of way",3
"What does this sign mean? -
C:\DTA\signs\41.jpg",One lane road,No entry,Stop,3
"What does this sign mean? -
C:\DTA\signs\42.jpg",One Lane road,No parking,"No entry for all motor
vehicles",3
"What does this sign mean? -
C:\DTA\signs\43.jpg",Various dangers,No parking,No entry,3
What does this sign mean? - C:\DTA\signs\44.jpg,No overtaking allowed for trucks,"No overtaking
allowed for all kinds of vehicles",No entry,2
"What does this sign mean? -
C:\DTA\signs\45.jpg","Upper speed limit:
30 km/hour","Lower Speed limit:
80 km/hour","Give way - priority
road ahead",1
What does this sign mean? - C:\DTA\signs\46.jpg,Theatre,No parking,You are not allowed to sound your horn,3
"What does this sign mean? -
C:\DTA\signs\47.jpg","Road reserved for
trucks",Trucks can overtake,"Trucks cannot
overtake",3
"What does this sign mean? -
C:\DTA\signs\48.jpg",Animal carts allowed,"No entry for
pedestrians","No entry for animal
carts",3
What does this sign mean? - C:\DTA\signs\49.jpg,No entry to all types of motor vehicles,"Caution, Lane reserved for
pedestrians",No entry for pedestrians,3
"What does this sign mean? -
C:\DTA\signs\50.jpg","Compulsory path for
motor vehicles","Lane reserved for
bikes",No entry for bikes,3
"What does this sign mean? -
C:\DTA\signs\51.jpg",Cycles crossing,Motorbikes Lane,"No entry for
motorbikes",3
"What does this sign mean? -
C:\DTA\signs\52.jpg","Trolleys cannot be
parked here","Lane reserved for
trolleys",Not entry for trolleys,3
What does this sign mean? - C:\DTA\signs\53.jpg,No parking,Road reserved for motor vehicles,No entry to all types of motor vehicles,3
What does this sign mean? - C:\DTA\signs\55.jpg,"No entry to trucks exceeding 2.3m in
height",No entry for trucks,"No entry to cars exceeding 2.3m in
width",3
What does this sign mean? - C:\DTA\signs\56.jpg,Compulsory direction for trucks,"No entry to trucks exceeding 3.5  tons
in weight","No entry to trucks exceeding 3.5 m in
height",3
What does this sign mean? - C:\DTA\signs\57.jpg,Cargo cannot exceed 10m,"No entry to trucks carrying more than
6.5 tons of cargo",No entry to trucks exceeding 10m in height,3
What does this sign mean? - C:\DTA\signs\58.jpg,"No entry to trucks
exceeding 7m  in height","No entry to trucks
exceeding 7 tons/wheel","No entry to trucks
carrying more than 7 tons of cargo",3
"What does this sign mean? -
C:\DTA\signs\60.jpg","Start of restriction
signs",No speeding,End of restriction sign,3
"What does this sign mean? -
C:\DTA\signs\61.jpg",Speed limit,Start of speed limit,End of speed limit,3
What does this sign mean? - C:\DTA\signs\62.jpg,Compulsory direction to the left,You cannot turn right,Turn right,3
What does this sign mean? - C:\DTA\signs\63.jpg,You can go straight or turn right,You cannot turn left,Turn left,3
"What does this sign mean? -
C:\DTA\signs\64.jpg","You cannot go right
or left",You must go straight,"You can turn right or
left",3
"What does this sign mean? -
C:\DTA\signs\65.jpg",Trucks must go right,You cannot turn left,"You can go straight or
turn right",3
What does this sign mean? - C:\DTA\signs\66.jpg,You cannot go left,Compulsory direction to the left,You can go straight or turn left,3
"What does this sign mean? -
C:\DTA\signs\67.jpg",You can go right,Freeway lane,"Compulsory direction
to the left",3
What does this sign mean? - C:\DTA\signs\68.jpg,You must go straight,You cannot turn right,Compulsory direction to the right,3
What does this sign mean? - C:\DTA\signs\69.jpg,You cannot turn right or left,Vehicle can only turn right,Compulsory direction to the right or the left,3
What does this sign mean? - C:\DTA\signs\71.jpg,"Lane reserved for pedestrians and
bicycles",Lane reserved for bicycles,End of bicycle track,3
What does this sign mean? - C:\DTA\signs\72.jpg,"No entry for
pedestrians and bicycles","Lane reserved for
pedestrians and bicycles",End of bicycle track,2
What does this sign mean? - C:\DTA\signs\75.jpg,Compulsory direction to the right,Traffic direction,You cannot turn right,3
"What does this sign mean? -
C:\DTA\signs\76.jpg",Compulsory turn,Traffic direction,You cannot turn,3
"What does this sign mean? -
C:\DTA\signs\77.jpg","End of no bus
overtaking zone","Lane reserved for
buses",No entry to buses,3
What does this sign mean? - C:\DTA\signs\78.jpg,"No entry to trucks
exceeding 6.5 tons in weight",Lane reserved for trucks,No entry to trucks,3
What does this sign mean? - C:\DTA\signs\79.jpg,Compulsory direction for trucks,Trucks cannot park here,"No entry to trucks carrying more than
6.5 tons of cargo",3
What does this sign mean? - C:\DTA\signs\80.jpg,Compulsory direction for trucks,No entry for trucks carrying Hazardous Material,Not entry to trailer trucks,3
What does this sign mean? - C:\DTA\signs\81.jpg,One-minute parking for agricultural machinery,Road reserved  for agricultural machinery,Agricultural machinery not allowed,3
What does this sign mean? - C:\DTA\signs\84.jpg,End of no overtaking for trucks,End of no overtaking zone,"Caution, two-lane road",2
What does this sign mean? - C:\DTA\signs\85.jpg,Trucks only,"End of no
overtaking for trucks","Caution, two lane road",2
What does this sign mean? - C:\DTA\signs\86.jpg,No parking,No overtaking for all kinds of vehicles,No entry,1
"What does this sign mean? -
C:\DTA\signs\87.jpg","No stopping and no
parking",No parking,No entry,1
"What does this sign mean? -
C:\DTA\signs\88.jpg","No parking in this
zone","No entry in this
direction",You must go straight,3
"What does this sign mean? -
C:\DTA\signs\89.jpg","No parking on the
left",You cannot turn left,Direction to the left,3
"What does this sign mean? -
C:\DTA\signs\90.jpg","No parking on the
right","You cannot turn
right",Direction to the right,3
"What does this sign mean? -
C:\DTA\signs\91.jpg",Parking zone,Roundabout ahead,You cannot turn,2
What does this sign mean? - C:\DTA\signs\92.jpg,"You cannot park for
more than 30 minutes",Mandatory upper speed,Mandatory lower speed,3
What does this sign mean? - C:\DTA\signs\93.jpg,Maximum speed: 30 km/h,"You cannot park for more than 30
minutes",End of mandatory lower speed,3
What does this sign mean? - C:\DTA\signs\94.jpg,"Caution, slippery road ahead",Tyre chains must be removed,Vehicles equipped with metal chains only,3
"What does this sign mean? -
C:\DTA\signs\95.jpg",Park,"No entry for
pedestrians","Lane reserved for
pedestrians",3
What does this sign mean? - C:\DTA\signs\96.jpg,Lane reserved for pedestrians,Upper ground pedestrian crossing,End of pedestrian Lane,3
"What does this sign mean? -
C:\DTA\signs\97.jpg","No parking for
bicycles",No entry for bicycles,Bicycles track,3
What does this sign mean? - C:\DTA\signs\98.jpg,Compulsory direction to the left,No parking on the left,Cannot turn left,3
What does this sign mean? - C:\DTA\signs\99.jpg,"Caution, moving bridge ahead","Two- lane road connected to a
bridge",Hospital,3
"What does this sign mean? -
C:\DTA\signs\100.jpg","Caution, no entry to
pedestrians","End of pedestrian
lane","Caution, pedestrian
crossing",3
"What does this sign mean? -
C:\DTA\signs\104.jpg",No entry for bicycles,"Lane reseved for
bikes",Bicycle track,2
"What does this sign mean? -
C:\DTA\signs\106.jpg",Lanes merge ahead,"Merger with a
freeway ahead",Dead end road,3
"What does this sign mean? -
C:\DTA\signs\107.jpg","Caution, airport
runway","Caution, bridge",Highway,3
"What does this sign mean? -
C:\DTA\signs\108.jpg","Bridge above the
road",End of freeway,"Caution, narrow road
ahead",2
"What does this sign mean? -
C:\DTA\signs\109.jpg",Bridge,Tunnel,"Caution, rough road
ahead",2
"What does this sign mean? -
C:\DTA\signs\111.jpg",For doctors only,"Parking for the
disabled",Help center,3
"What does this sign mean? -
C:\DTA\signs\112.jpg","No parking for the
disabled",One-minute parking,"Parking reserved for
the disabled",3
"What does this sign mean? -
C:\DTA\signs\113.jpg",Parking,One-minute parking,Parking not allowed,2
What does this sign mean? - C:\DTA\signs\116.jpg,Parking for all - not more than two taxi cars allowed,Taxis not allowed to park here,Taxi stop,3
"What does this sign mean? -
C:\DTA\signs\117.jpg",Remove immediately,Inquiries,Police,3
"What does this sign mean? -
C:\DTA\signs\118.jpg",Internet Center,Petrol station,Inquiries,3
"What does this sign mean? -
C:\DTA\signs\119.jpg","Parking reserved for
the police",Fire Brigade,Municipality police,3
What does this sign mean? - C:\DTA\signs\121.jpg,Dangerous interesection ahead,Indirect turn to the left,Freeway,3
"What does this sign mean? -
C:\DTA\signs\127.jpg",Parking,One-minute parking,No parking,1
"What does this sign mean? -
C:\DTA\signs\128.jpg",Repair Center,Restaurant,Hotel,3
"What does this sign mean? -
C:\DTA\signs\129.jpg",Refreshments,Restaurant,Inquiries,2
"What does this sign mean? -
C:\DTA\signs\132.jpg",Petrol station,Public phone,Restaurant,2
"What does this sign mean? -
C:\DTA\signs\133.jpg",Petrol station,Repair Center,Restaurant,1
What does this sign mean? - C:\DTA\signs\134.jpg,Lane reserved for buses,Buses are not allowed to stop here,Bus parking,3
"What does this sign mean? -
C:\DTA\signs\136.jpg",Help Center,"Camping & camping
cars zone",No parking,2
"What does this sign mean? -
C:\DTA\signs\139.jpg",Reduce Speed,"Indirect bend to the
left",Bend ahead,3
"What does this sign mean? -
C:\DTA\signs\141.jpg",Reduce Speed,"Indirect bend to the
left",Bend ahead,2
"What does this sign mean? -
C:\DTA\signs\2.jpg","Caution, right bend
ahead","Caution, road
Bumps ahead","Caution, uneven roads
ahead",2
"If the road is divided into two lanes with solid lines or other lane seperator,
the driver:",Should travel in the opposite direction,Should cross these lines and drive on it,"Should not cross these lines or other lane
seperators",3
"In case of normal traffic, the driver
should:","Keep to the left side
of the road","Cross the dividing
lines to overtake","Keep to the right side
of the road",3
Pavements  are intended:,"To park vehicles, when parking is allowed",To put anything that obstructs the use of the pavement,"To be used by pedestrians, children trolleys, the sick , and the disabled",3
"When drastically changing  speed or direction, the driver should:",Cross the solid line if the solid line is on his left,Cross the broken line without any signaling,"Check there is no danger, and give appropriate signals to
other road users",3
Sudden braking is allowed only:,If the driver needs to stop the car,If the driver needs to test the brakes,In case of danger,3
The driver should keep to:,"The left, when another driver is overtaking him","The left, when another vehicle is heading towards him way from the opposite direction","The right, when another vehicle is heading towards him way from the opposite direction",3
